2026-03-10 11:50 - CPU_TEMP [Min:43.0 Max:45.2] | CPU_USAGE [Min:38.8 Max:56.2] | RAM_USAGE [Min:24.2 Max:26.0] | GPU_USAGE [Min:2.0 Max:4.0] | NPU_USAGE [Min:17.3 Max:19.1]
2026-03-10 11:51 - CPU_TEMP [Min:42.5 Max:45.2] | CPU_USAGE [Min:36.4 Max:43.1] | RAM_USAGE [Min:24.3 Max:27.5] | GPU_USAGE [Min:2.0 Max:4.0] | NPU_USAGE [Min:19.1 Max:20.1]
2026-03-10 11:52 - CPU_TEMP [Min:42.5 Max:45.2] | CPU_USAGE [Min:37.1 Max:47.0] | RAM_USAGE [Min:24.3 Max:27.7] | GPU_USAGE [Min:2.0 Max:4.0] | NPU_USAGE [Min:18.5 Max:20.0]
2026-03-10 11:53 - CPU_TEMP [Min:42.5 Max:45.2] | CPU_USAGE [Min:36.5 Max:46.9] | RAM_USAGE [Min:24.3 Max:27.4] | GPU_USAGE [Min:2.0 Max:4.0] | NPU_USAGE [Min:18.3 Max:20.1]
2026-03-10 11:54 - CPU_TEMP [Min:42.5 Max:45.2] | CPU_USAGE [Min:37.0 Max:43.3] | RAM_USAGE [Min:24.3 Max:28.2] | GPU_USAGE [Min:2.0 Max:4.0] | NPU_USAGE [Min:18.9 Max:20.0]
2026-03-10 11:55 - CPU_TEMP [Min:42.5 Max:45.2] | CPU_USAGE [Min:36.5 Max:45.4] | RAM_USAGE [Min:24.3 Max:27.3] | GPU_USAGE [Min:2.0 Max:4.0] | NPU_USAGE [Min:18.7 Max:20.1]
2026-03-10 11:56 - CPU_TEMP [Min:42.5 Max:45.2] | CPU_USAGE [Min:36.5 Max:45.9] | RAM_USAGE [Min:24.2 Max:27.1] | GPU_USAGE [Min:2.0 Max:4.0] | NPU_USAGE [Min:19.1 Max:20.0]
2026-03-10 11:57 - CPU_TEMP [Min:42.5 Max:45.2] | CPU_USAGE [Min:36.9 Max:44.2] | RAM_USAGE [Min:24.3 Max:27.0] | GPU_USAGE [Min:2.0 Max:3.7] | NPU_USAGE [Min:18.3 Max:20.0]
2026-03-10 11:58 - CPU_TEMP [Min:41.9 Max:45.2] | CPU_USAGE [Min:36.6 Max:52.1] | RAM_USAGE [Min:24.3 Max:26.6] | GPU_USAGE [Min:2.0 Max:4.0] | NPU_USAGE [Min:17.8 Max:19.9]
2026-03-10 11:59 - CPU_TEMP [Min:42.5 Max:44.6] | CPU_USAGE [Min:36.9 Max:48.5] | RAM_USAGE [Min:24.3 Max:27.6] | GPU_USAGE [Min:2.0 Max:3.7] | NPU_USAGE [Min:18.9 Max:20.0]
